group,FORMULA,STRUC_SPACEGROUP_SYM,STRUC_SPACEGROUP_NO,STRUC_CELL_LENGTH_A,STRUC_CELL_LENGTH_B,STRUC_CELL_LENGTH_C,STRUC_ALPHA,STRUC_BETA,STRUC_GAMMA,STRUC_VOLUME,COMP_ELEMENT_COUNT,COMP_PARSED FORMULA,OTHER_TEMPERATURE,OTHER_PRESSURE,OTHER_DENSITY,OTHER_DATABASE,LABEL_CTE CELL_LENGTH_A,LABEL_R^2 CELL_LENGTH_A,LABEL_CTE CELL_LENGTH_B,LABEL_R^2 CELL_LENGTH_B,LABEL_CTE CELL_LENGTH_C,LABEL_R^2 CELL_LENGTH_C,LABEL_CTE VOLUME,LABEL_R^2 VOLUME,LABEL_dir NTE,LABEL_dir NTE large,LABEL_vol NTE,LABEL_MAX CTE,LABEL_ABS MAX CTE,LABEL_MIN CTE,LABEL_ABS MIN CTE,LABEL_DEV CTE,COMP_FORMULA,COMP_oxides,COMP_carbonites,COMP_fluorides,COMP_cyonides,COMP_partly organic
Fe0.52O3.0V0.48Y0.98 Pnma,Fe0.52O3V0.48Y0.98,Pnma,62.0,0.55969,0.75966,0.52839,90.0,90.0,90.0,0.22466,4.0,Fe0.52O3.0V0.48Y0.98,300.0,101.325,5.58,ICSD,2.762096974797081e-06,0.980277683002608,9.05911545601934e-06,0.9713504154925028,7.57502356586002e-06,0.9713504154925028,1.9376207363260425e-05,0.9773141602926192,0,0,0,9.05911545601934e-06,9.05911545601934e-06,2.762096974797081e-06,2.762096974797081e-06,6.29701848122226e-06,Fe0.52O3V0.48Y0.98,1,0,0,0,1
Fe0.4Ge2.0Mn1.6Pr1.0 I4/mmm,Fe0.4Ge2Mn1.6Pr,I4/mmm,139.0,0.4102,0.4102,1.0874,90.0,90.0,90.0,0.183,4.0,Fe0.4Ge2.0Mn1.6Pr1.0,300.0,101.325,7.19,PCD,7.060537234314872e-06,0.9257489369958112,7.060537234314872e-06,0.9257489369958112,1.2472313139600215e-06,0.9257489369958112,1.6605102969690196e-05,0.781962020276108,0,0,0,7.060537234314872e-06,7.060537234314872e-06,1.2472313139600215e-06,1.2472313139600215e-06,5.813305920354851e-06,Fe0.4Ge2Mn1.6Pr,0,0,0,0,0
Fe0.4Ge2.0Mn1.6Nd1.0 I4/mmm,Fe0.4Ge2Mn1.6Nd1,I4/mmm,139.0,0.40786,0.40786,1.08618,90.0,90.0,90.0,0.18069,4.0,Fe0.4Ge2.0Mn1.6Nd1.0,293.0,101.325,7.35,ICSD,1.1587931421913113e-05,0.7891926134107415,1.1587931421913113e-05,0.7891926134107415,4.492714547675515e-06,0.7891926134107415,2.7289886537862506e-05,0.8814824284090936,0,0,0,1.1587931421913113e-05,1.1587931421913113e-05,4.492714547675515e-06,4.492714547675515e-06,7.095216874237597e-06,Fe0.4Ge2Mn1.6Nd1,0,0,0,0,0
Fe0.48Se2.0Ti1.0 C12/m1,Fe0.48Se2Ti1,C12/m1,12.0,1.3462999999999998,0.3591499999999999,0.62673,90.0,117.374,90.0,0.26911,3.0,Fe0.48Se2.0Ti1.0,300.0,101.325,5.74,ICSD,7.724375947274052e-06,0.867766300195155,1.6970593050728167e-05,0.997876521421705,9.165786267436938e-06,0.997876521421705,3.2072969354701875e-05,0.9581948564129804,0,0,0,1.6970593050728167e-05,1.6970593050728167e-05,7.724375947274052e-06,7.724375947274052e-06,9.246217103454117e-06,Fe0.48Se2Ti1,0,0,0,0,0
Fe0.45Mg1.55O4.0Si1.0 Pnma,Fe0.446Mg1.554[SiO4],Pnma,62.0,1.02676,0.60112,0.47733,90.0,90.0,90.0,0.2946,4.0,Fe0.45Mg1.55O4.0Si1.0,293.0,101.325,3.49,PCD,1.2997344684463573e-05,0.9971778331138944,1.2903775349999613e-05,0.9977174904632556,9.19325198587974e-06,0.9977174904632556,3.508012701451478e-05,0.9965054122067692,0,0,0,1.2997344684463573e-05,1.2997344684463573e-05,9.19325198587974e-06,9.19325198587974e-06,3.804092698583829e-06,Fe0.446Mg1.554[SiO4],1,0,0,0,1
Fe0.43La1.0Ni0.57O3.0 R-3cH,Fe0.426La1Ni0.574O3,R-3cH,167.0,0.55287,0.55287,1.33628,90.0,90.0,120.0,0.35373,4.0,Fe0.43La1.0Ni0.57O3.0,673.0,101.325,6.88,ICSD,9.280180019643148e-06,0.9917985367216086,9.280180019643148e-06,0.9917985367216086,1.922056648481896e-05,0.9917985367216086,3.779723500482689e-05,0.9953315436280226,0,0,0,1.922056648481896e-05,1.922056648481896e-05,9.280180019643148e-06,9.280180019643148e-06,9.940386465175813e-06,Fe0.426La1Ni0.574O3,1,0,0,0,1
Fe0.43La1.0Ni0.57O3.0 Pm-3m,Fe0.426La1Ni0.574O3,Pm-3m,221.0,0.39018,0.39018,0.39018,90.0,90.0,90.0,0.0594,4.0,Fe0.43La1.0Ni0.57O3.0,873.0,101.325,6.83,ICSD,2.1992670482351983e-05,0.9706233197110408,2.1992670482351983e-05,0.9706233197110408,2.1992670482351983e-05,0.9706233197110408,6.605999595540091e-05,0.9730754163597508,0,0,0,2.1992670482351983e-05,2.1992670482351983e-05,2.1992670482351983e-05,2.1992670482351983e-05,0.0,Fe0.43La1Ni0.57O3,1,0,0,0,1
Fe0.42La1.0Ni0.58O3.0 R-3c h,Fe0.421LaNi0.579O2.996,R-3c h,167.0,0.55117,0.55117,1.32702,90.0,90.0,120.0,0.3491,4.0,Fe0.42La1.0Ni0.58O3.0,298.0,101.325,6.97,PCD,8.667555095886444e-06,0.9962870986747524,8.667555095886444e-06,0.9962870986747524,1.880612068288884e-05,0.9962870986747524,3.625844976047747e-05,0.99835829962299,0,0,0,1.880612068288884e-05,1.880612068288884e-05,8.667555095886444e-06,8.667555095886444e-06,1.0138565587002397e-05,Fe0.421LaNi0.579O2.996,1,0,0,0,1
Fe0.42La1.0Ni0.58O3.0 Pm-3m,Fe0.421LaNi0.579O3,Pm-3m,221.0,0.39018,0.39018,0.39018,90.0,90.0,90.0,0.0594,4.0,Fe0.42La1.0Ni0.58O3.0,873.0,101.325,6.83,PCD,2.1992670482351983e-05,0.9706233197110408,2.1992670482351983e-05,0.9706233197110408,2.1992670482351983e-05,0.9706233197110408,6.689062973088023e-05,0.9800909660174988,0,0,0,2.1992670482351983e-05,2.1992670482351983e-05,2.1992670482351983e-05,2.1992670482351983e-05,0.0,Fe0.421LaNi0.579O3,1,0,0,0,1
Fe0.39La0.93Mn0.02Ni0.59O3.0 R-3c h,Fe0.392La0.931Mn0.02Ni0.588O3,R-3c h,167.0,0.55135,0.55135,1.32809,90.0,90.0,120.0,0.3496,5.0,Fe0.39La0.93Mn0.02Ni0.59O3.0,333.0,101.325,6.69,PCD,9.12408340503528e-06,0.9992559213972664,9.12408340503528e-06,0.9992559213972664,1.897291761192052e-05,0.9992559213972664,3.73262877713998e-05,0.9996299622920746,0,0,0,1.897291761192052e-05,1.897291761192052e-05,9.12408340503528e-06,9.12408340503528e-06,9.848834206885235e-06,Fe0.392La0.931Mn0.02Ni0.588O3,1,0,0,0,1
